rank;epoch;composition;score;energy;x_json;prop_density;prop_conductivity;prop_permittivity;prop_bandgap;prop_hardness;prop_thermal;prop_magnetic;prop_thermal_conductivity;prop_magnetic_moment
1;92;X5-v0;0.454692;2.151722;[0.3815648698134527, 0.4913126836293997, 0.6575541582215929, 0.501532268134033, 0.6211231645945788, 0.6269080982324368, 0.6093956394773014, 0.6304659237100987, 0.003213966753283795, 0.0, 0.07292613306350007, 0.0, 0.07306734270412245, 0.11605150544073545, 0.0, 0.05382660161974678];10.905227;1.120074;50.000000;3.280712;6.445283;85.562909;3.371;50.000000;2.879063
2;53;X5-v68;0.449224;2.142532;[0.3725387364668415, 0.5029223315370424, 0.6563416821635237, 0.4933218890383245, 0.5883010622880149, 0.6344644919763427, 0.5722664330727121, 0.650863519082188, 0.0, 0.010426487730662709, 0.0, 0.0, 0.0, 0.058141520040926056, 0.10548279902538224, 0.0];11.019828;1.120411;49.991689;3.286457;6.451495;80.844090;3.401;49.991689;2.884791
3;26;X5-v44;0.448799;2.151288;[0.37585983679877744, 0.4587103832676645, 0.6686430251837713, 0.521805899368183, 0.6203383785449774, 0.6051252007699388, 0.5846634179765049, 0.6391554819498779, 0.07243702121678083, 0.0, 0.05013461466318293, 0.08497034107870066, 0.006598748503546824, 0.0, 0.06427880462299448, 0.035115738077492145];11.093407;1.120505;49.995830;3.305760;6.494260;86.367083;3.356;49.995830;2.898676
4;7;X5-v48;0.447884;2.150065;[0.37525306594216334, 0.48371116876655096, 0.6352844594839757, 0.4938152401375835, 0.5507046180249945, 0.6715357219472307, 0.5945695853217307, 0.6170573396921736, 0.05238649418919218, 0.04650325068985979, 0.0, 0.029403057989955267, 0.09037361898608859, 0.06653577054873008, 0.06067506552888864, 0.0009502645895413456];11.118537;1.120501;49.986025;3.307367;6.497317;89.204476;3.326;49.986025;2.899994
5;74;X5-v8;0.447562;2.146121;[0.3654208877576483, 0.48992614488275743, 0.6480976207581272, 0.5219067610273402, 0.7052860908610032, 0.688826035510925, 0.5673782379400685, 0.6646191844644209, 0.09585592135920384, 0.08860679356099217, 0.08735692302740064, 0.0972964248286764, 0.07813662051405021, 0.033330073591644124, 0.04154470514490369, 0.0];11.388118;1.121177;50.000000;3.382879;6.658151;84.337355;3.365;50.000000;2.955406
6;17;X5-v60;0.446046;2.153247;[0.37595007779761264, 0.46495344486207046, 0.6746448022860602, 0.4959834800342775, 0.648303774728665, 0.6120780722376334, 0.604968717526895, 0.6409112995103601, 0.06458792593113517, 0.027603984140329163, 0.11427092051113649, 0.08516773860128102, 0.026115252243165597, 0.10875426267315859, 0.05200214111490825, 0.01961832620113846];10.958015;1.119611;49.990214;3.297058;6.494780;91.675282;3.316;49.990214;2.889065
7;96;X5-v80;0.445299;2.141627;[0.34421170097627785, 0.5069944338212415, 0.7061625291696046, 0.5252475543579725, 0.6045525066172702, 0.6828500303282679, 0.5999256418272304, 0.6545576403678726, 0.033835280489217315, 0.02161321428063344, 0.0693975532580435, 0.07856864071464856, 0.020785754642121942, 0.0, 0.0, 0.0];11.471159;1.121601;50.000000;3.391711;6.664513;77.988564;3.447;50.000000;2.963978
8;33;X5-v8;0.444862;2.139271;[0.38259876879432536, 0.4511581453346337, 0.640262879203498, 0.4835035044459001, 0.6005234015173119, 0.6031037926794967, 0.599034837057487, 0.6260540291722747, 0.09452112976988183, 0.08991209536052204, 0.042830162345194225, 0.10491324453170703, 0.007555988539906119, 0.03708127812353689, 0.03685286559549829, 0.0];10.850769;1.119714;49.975347;3.245776;6.378014;93.123067;3.285;49.975347;2.853078
9;15;X5-v80;0.444777;2.151092;[0.38983457095600393, 0.5017674426827802, 0.6733032381786459, 0.5240025862339079, 0.6390168388602779, 0.6428123131741273, 0.5336947686428611, 0.6297364491303059, 0.10290780335377522, 0.06142161273672099, 0.09138912822555187, 0.12282068889009928, 0.0, 0.07351005539832167, 0.06691636599384061, 0.0];10.943508;1.120032;50.000000;3.301625;6.493061;89.483759;3.312;50.000000;2.893568
10;36;X5-v0;0.443650;2.132535;[0.3756915018526981, 0.4317216953265162, 0.6615552757384758, 0.4902141609880708, 0.6373316331539283, 0.6083298653940363, 0.6011552592575329, 0.6675958004654196, 0.08146839865900893, 0.019532838529551608, 0.0, 0.0, 0.05685927896644617, 0.11640040488248646, 0.08385579711702437, 0.0];11.153221;1.120537;49.983845;3.309017;6.503461;86.805142;3.339;49.983845;2.901123
